"","month","year","t","norm_est","flow_est"
"1",1,1428,1,NA,NA
"2",2,1428,2,NA,NA
"3",3,1428,3,NA,NA
"4",4,1428,4,0.605732508238606,5.9257139992682
"5",5,1428,5,NA,NA
"6",6,1428,6,NA,NA
"7",7,1428,7,NA,NA
"8",8,1428,8,NA,NA
"9",9,1428,9,NA,NA
"10",10,1428,10,NA,NA
"11",11,1428,11,NA,NA
"12",12,1428,12,NA,NA
"13",1,1429,13,NA,NA
"14",2,1429,14,NA,NA
"15",3,1429,15,NA,NA
"16",4,1429,16,-0.152688659360687,4.32025779933511
"17",5,1429,17,0.0275813843872371,18.3845209238518
"18",6,1429,18,NA,NA
"19",7,1429,19,NA,NA
"20",8,1429,20,NA,NA
"21",9,1429,21,NA,NA
"22",10,1429,22,-0.508578334974883,1.70931441037287
"23",11,1429,23,-0.430483228615525,1.63913255914646
"24",12,1429,24,-0.221960474102851,1.51677923637046
"25",1,1430,25,0.410179758968685,1.63015359126452
"26",2,1430,26,0.319782266440145,1.59251794217526
"27",3,1430,27,0.509077062308643,2.02705960548277
"28",4,1430,28,0.270516201336091,5.1745238634196
"29",5,1430,29,-0.0849442977608282,17.696603184002
"30",6,1430,30,1.00030393522528,35.0055929873239
"31",7,1430,31,0.811251419232306,9.30456543306774
"32",8,1430,32,0.615048139646839,3.72143680929648
"33",9,1430,33,0.746709988165399,2.9250629031644
"34",10,1430,34,-0.151307625787448,1.93420915422865
"35",11,1430,35,-0.12500150816977,1.77022987571669
"36",12,1430,36,-0.109194841331328,1.557768473431
"37",1,1431,37,0.172074098814709,1.55755699302611
"38",2,1431,38,0.301223874176425,1.58742619016017
"39",3,1431,39,0.235896136937795,1.89001921946946
"40",4,1431,40,0.121393831071161,4.86172611055079
"41",5,1431,41,0.258376119722643,19.8508704212157
"42",6,1431,42,0.489348926991107,27.2875723358033
"43",7,1431,43,0.461039595085093,7.74488361272445
"44",8,1431,44,0.320010088740924,3.36786827001108
"45",9,1431,45,0.384198636176416,2.5829576229477
"46",10,1431,46,-0.0141109301581744,2.02560611548917
"47",11,1431,47,0.222793396019116,1.92782238395546
"48",12,1431,48,0.627278393635938,1.84375773458336
"49",1,1432,49,0.734762345523863,1.73267910388649
"50",2,1432,50,0.571490140797438,1.6626511035885
"51",3,1432,51,0.263712969243137,1.90368345277211
"52",4,1432,52,0.234128427992931,5.09699821270347
"53",5,1432,53,-0.307487254007664,16.3873982856001
"54",6,1432,54,-0.28928112408653,17.8353163346216
"55",7,1432,55,-0.517895363649467,4.32798197078175
"56",8,1432,56,-0.542815581610794,2.46377871057977
"57",9,1432,57,-0.284614043648331,2.02353716548415
"58",10,1432,58,-0.433443033744015,1.75505733287384
"59",11,1432,59,-0.0981290353192939,1.78208766005493
"60",12,1432,60,-0.309790322062253,1.48535968027772
"61",1,1433,61,0.372082579717108,1.61839023709384
"62",2,1433,62,0.206940341447167,1.56172524762216
"63",3,1433,63,-0.161877800519065,1.70171489338697
"64",4,1433,64,-0.989574092549018,2.92219899613517
"65",5,1433,65,0.12748575175672,19.0100637446089
"66",6,1433,66,0.542228563113137,28.0287594870392
"67",7,1433,67,0.181815334680329,6.63281849806769
"68",8,1433,68,0.241113808518946,3.2772438605324
"69",9,1433,69,0.206802450286177,2.42565043107866
"70",10,1433,70,-0.828192672524436,1.52377747471307
"71",11,1433,71,-0.867393379865392,1.46325313055816
"72",12,1433,72,-0.454127552229909,1.43468077793519
"73",1,1434,73,0.540632152509525,1.67086264644953
"74",2,1434,74,0.430336672132848,1.6230749045379
"75",3,1434,75,0.0877735377408961,1.81835568794891
"76",4,1434,76,-1.11854678417168,2.73912337640706
"77",5,1434,77,-0.609090683520684,14.719747380241
"78",6,1434,78,0.67838980534947,29.9977225861945
"79",7,1434,79,0.173092676339042,6.59990689854457
"80",8,1434,80,-0.0186774894078499,2.99033037221585
"81",9,1434,81,-0.0973289676953036,2.17104105204486
"82",10,1434,82,-0.680064899719772,1.60795946963626
"83",11,1434,83,-0.711647421509818,1.52440131953812
"84",12,1434,84,-0.542463943403033,1.40424649908979
"85",1,1435,85,-0.110355645607478,1.47427660525965
"86",2,1435,86,-0.128048630882086,1.4726533719198
"87",3,1435,87,-0.073407718731698,1.74245849062805
"88",4,1435,88,-0.324225665319677,4.00293631503927
"89",5,1435,89,-0.45942633231665,15.5321215120282
"90",6,1435,90,0.338579782327267,25.2454955361604
"91",7,1435,91,0.142167687634389,6.48410269121939
"92",8,1435,92,0.0191928990088348,3.03106591538583
"93",9,1435,93,0.0783375146453752,2.31580082965458
"94",10,1435,94,0.180414854175056,2.16007987474172
"95",11,1435,95,0.353832085705157,1.98953830714696
"96",12,1435,96,0.550417975583907,1.81240693027604
"97",1,1436,97,0.588650126029401,1.68601490752667
"98",2,1436,98,0.884166218857313,1.75257916065007
"99",3,1436,99,0.295464100772915,1.91936030373394
"100",4,1436,100,-0.792997637431033,3.2173657562184
"101",5,1436,101,0.117767097180366,18.9485971111007
"102",6,1436,102,0.359752185938948,25.5259483328275
"103",7,1436,103,0.00995795665599838,6.00435969500356
"104",8,1436,104,-0.0910956255057227,2.91345751348271
"105",9,1436,105,-0.451914469838294,1.89763086162567
"106",10,1436,106,-0.305668624403204,1.8347379560891
"107",11,1436,107,0.336403361073994,1.98125529954234
"108",12,1436,108,-0.0315958053533841,1.58640143244395
"109",1,1437,109,0.162666482841601,1.55473370557186
"110",2,1437,110,-0.34971138666051,1.41562106086558
"111",3,1437,111,-0.944012775957947,1.369057049581
"112",4,1437,112,-1.68064234571952,2.03454387116439
"113",5,1437,113,-1.2093372600825,11.7527453380988
"114",6,1437,114,-0.244404108889229,18.3084065381024
"115",7,1437,115,-0.928230403758708,3.27258826816766
"116",8,1437,116,-0.857441654673379,2.18010624779669
"117",9,1437,117,-1.11236273439205,1.45265570578978
"118",10,1437,118,-1.46486571311748,1.19630625259282
"119",11,1437,119,-1.00537117999914,1.41049385647882
"120",12,1437,120,-1.1435240964028,1.20868463646148
"121",1,1438,121,-0.961655207126899,1.2414153238537
"122",2,1438,122,-1.14094053571645,1.22417290377424
"123",3,1438,123,-1.0078264067734,1.34404904530823
"124",4,1438,124,-0.748655723578794,3.28668934783632
"125",5,1438,125,-1.35210034364144,11.113478398302
"126",6,1438,126,-0.0679137138280117,20.2517155138725
"127",7,1438,127,-0.762455470629026,3.6741954000591
"128",8,1438,128,-0.871626198751747,2.16787268125759
"129",9,1438,129,-1.02828566157274,1.50481756632038
